source_id,ra,dec,parallax_mas,is_etz,n_annulus,annulus_density_per_deg2,bright_source_max_jy,n_trials,best_aperture_arcsec,best_d_au,best_phase,best_dx_arcsec,best_dy_arcsec,best_n_obs,best_lambda,p_raw,p_trials,n_sources_in_reach,n_x_30,lambda_30,n_x_60,lambda_60,n_x_120,lambda_120,n_x_204,lambda_204,n_x_300,lambda_300,n_x_600,lambda_600,veto,masked_by_bad_tile,is_candidate,control_+ra_veto,control_+ra_p_trials,control_-ra_veto,control_-ra_p_trials,control_+dec_veto,control_+dec_p_trials,control_-dec_veto,control_-dec_p_trials,n_control_evaluated,n_control_fired,control_min_p_trials,p_empirical_control
1581755198632350208,186.27384408176556,60.697332200486485,24.682760809163124,False,333,1135.6842010628818,,123,204.0,2000.0,0.75,3.07513624610613,-92.85300503923673,6,11.456785714285713,0.061690692567769635,1.0,969,0,0.24776785714285718,0,0.9910714285714287,1,3.964285714285715,8,11.456785714285713,19,24.776785714285715,103,99.10714285714286,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
988851730971713152,110.74414083881346,55.70458216604962,24.682443079989543,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
994980683663509120,100.66031882877823,56.021034174149335,24.67964948103417,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
1325075373062361728,248.78317347028403,33.30129897476882,24.679618779695495,False,231,787.816968304882,,82,600.0,500.0,0.5,-209.29492930177187,315.110968126659,62,68.75000000000001,0.22807605468072595,1.0,625,1,0.17187500000000003,2,0.6875000000000001,6,2.7500000000000004,15,7.947500000000001,26,17.187500000000004,76,68.75000000000001,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,0.022790500142902542,4,0,0.022790500142902542,1.0
1915486080362257152,344.2508768431235,35.66095596984757,24.67679164022519,False,150,511.56945993823507,,82,300.0,500.0,0.125,-103.74531299998392,-295.76494910192434,7,11.160714285714286,0.13311296224123906,1.0,397,0,0.11160714285714288,0,0.4464285714285715,2,1.785714285714286,6,5.160714285714286,13,11.160714285714286,46,44.642857142857146,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
2777801129827351040,13.771273795118576,14.6505222715912,24.675219514417993,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
1427270688192903424,254.13439490701577,55.94653650915546,24.67400276144509,False,0,0.0,,0,,,,,,-1,,,,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,not_significant,1.0,not_significant,0.01716793358392642,outside_footprint_or_masked,,2,0,0.01716793358392642,
1612506855233909504,225.47218651227396,55.75257007940095,24.672796661492832,False,239,815.1006728349212,,123,600.0,500.0,0.375,-63.04548161421615,399.27470633173937,55,71.13095238095238,0.02821443514197808,1.0,603,0,0.17782738095238096,0,0.7113095238095238,4,2.8452380952380953,6,8.222738095238094,17,17.782738095238095,70,71.13095238095238,not_significant,False,False,not_significant,0.4092371846459765,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,0.4092371846459765,1.0
838221249306167424,168.9822004272997,50.90841898207105,24.671574065486162,False,189,644.5775195221762,,82,600.0,500.0,0.25,-157.4202069679298,316.9398609342953,51,56.25000000000001,0.267636555235163,1.0,523,1,0.14062500000000003,2,0.5625000000000001,3,2.2500000000000004,8,6.5025,13,14.062500000000002,65,56.25000000000001,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
1427269829199443712,254.1327726262337,55.942384057346175,24.67139260397178,False,0,0.0,,0,,,,,,-1,,,,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,not_significant,1.0,not_significant,0.047414529725154045,outside_footprint_or_masked,,2,0,0.047414529725154045,
